app_id,candidate_id,role_level,applied_date,decision_date,expected_salary
1,3,Executive,2025-08-17,2025-09-28,149579
2,72,Junior,2025-02-27,2025-03-05,61798
3,75,Senior,2025-08-19,2025-09-20,68016
4,185,Junior,2025-10-11,2025-12-08,61579
5,125,Senior,2025-06-07,2025-06-08,74760
6,51,Senior,2026-02-03,2026-02-16,131303
7,88,Executive,2025-04-26,,126752
8,25,Senior,2024-04-18,,60289
9,172,Junior,2024-09-06,2024-09-25,47665
10,98,Executive,2025-05-13,,111066
11,17,Senior,2025-11-04,2025-12-22,47492
12,28,Senior,2026-01-26,2026-02-16,105909
13,148,Junior,2025-07-05,,47455
14,131,Junior,2024-08-11,,151587
15,74,Executive,2025-05-07,2025-05-12,48907
16,74,Junior,2025-12-31,,92923
17,110,Executive,2024-07-14,2024-09-09,72271
18,83,Executive,2025-06-08,,45209
19,86,Junior,2025-03-02,,94948
20,136,Executive,2026-01-04,,114085
21,168,Senior,2025-10-07,,74179
22,13,Executive,2025-12-26,2026-02-07,81180
23,57,Senior,2025-03-26,2025-04-12,57154
24,37,Executive,2025-02-10,,79321
25,177,Junior,2025-09-01,2025-09-22,41220
26,116,Executive,2025-02-05,2025-03-17,53104
27,189,Junior,2025-07-31,2025-09-04,106307
28,57,Senior,2025-09-07,2025-09-16,155456
29,26,Junior,2024-12-13,2025-02-08,88434
30,168,Senior,2025-05-19,2025-05-30,149280
31,42,Executive,2025-07-30,,79651
32,96,Executive,2025-11-29,,109329
33,131,Executive,2025-04-10,2025-05-23,79240
34,110,Junior,2025-02-17,,155097
35,72,Junior,2025-10-30,2025-11-16,156616
36,11,Executive,2024-09-24,2024-11-11,60374
37,166,Executive,2024-09-27,2024-09-22,67607
38,111,Senior,2025-07-10,,66685
39,130,Executive,2025-03-30,,151792
40,113,Senior,2025-10-11,2025-11-13,72914
41,125,Executive,2025-08-13,2025-08-19,95518
42,178,Junior,2025-01-21,2025-01-24,83719
43,109,Senior,2025-08-19,2025-09-29,61178
44,120,Senior,2025-12-05,,112309
45,14,Senior,2025-09-06,,113519
46,140,Junior,2025-02-16,2025-02-24,155750
47,163,Junior,2025-03-08,,111511
48,104,Senior,2024-07-09,2024-09-01,116350
49,7,Junior,2025-08-09,,96333
50,147,Senior,2024-12-04,2024-12-07,87795
51,123,Senior,2025-05-18,2025-07-15,67535
52,55,Junior,2024-06-23,,127416
53,174,Executive,2025-10-01,2025-10-24,155885
54,166,Executive,2025-06-29,2025-08-08,60257
55,42,Junior,2024-11-02,2024-12-28,144842
56,94,Senior,2026-01-04,2026-02-16,43248
57,135,Senior,2026-01-05,2026-02-16,142548
58,73,Executive,2025-04-21,2025-06-12,153254
59,136,Junior,2025-01-08,,74970
60,187,Executive,2025-04-15,2025-06-05,54168
61,59,Junior,2025-09-04,2025-10-30,152537
62,160,Junior,2025-06-13,2025-06-28,147031
63,12,Senior,2025-09-09,2025-10-02,147549
64,29,Junior,2026-01-06,2026-01-21,126511
65,82,Senior,2025-10-09,2025-11-04,76517
66,180,Senior,2025-12-27,2026-02-15,86025
67,190,Executive,2024-12-08,,92386
68,200,Executive,2024-08-23,,83404
69,14,Senior,2025-01-29,2025-02-06,63405
70,117,Senior,2025-05-15,,45014
71,101,Senior,2024-12-11,2025-01-19,85309
72,60,Senior,2025-06-10,,97199
73,39,Executive,2025-10-04,,55157
74,162,Executive,2025-10-14,2025-12-11,64914
75,118,Executive,2025-02-22,2025-02-17,97154
76,117,Executive,2024-04-06,2024-05-10,130027
77,153,Executive,2025-05-23,,136605
78,52,Junior,2025-05-18,,87739
79,63,Executive,2025-05-08,2025-05-13,83279
80,137,Senior,2025-07-12,,126951
81,17,Senior,2024-06-09,2024-07-26,106469
82,151,Senior,2025-06-21,2025-08-03,82753
83,120,Senior,2025-07-01,2025-08-15,112667
84,159,Senior,2025-03-15,2025-03-28,127153
85,98,Executive,2025-05-12,2025-06-25,158332
86,173,Executive,2025-02-10,2025-03-22,79446
87,5,Junior,2025-09-24,2025-10-30,79829
88,173,Senior,2025-02-13,2025-02-27,142990
89,184,Executive,2025-07-23,,125813
90,23,Senior,2025-01-27,2025-02-26,97954
91,31,Junior,2025-06-19,,107000
92,150,Executive,2025-05-22,2025-07-12,62241
93,23,Junior,2025-10-30,,77196
94,108,Executive,2025-05-31,,122960
95,68,Senior,2025-10-08,,-50000
96,59,Senior,2025-08-07,2025-09-20,69444
97,127,Junior,2025-06-03,2025-06-13,46057
98,32,Executive,2024-10-03,2024-11-03,151376
99,31,Senior,2025-05-17,2025-06-16,156147
100,124,Executive,2025-12-12,,65485
101,136,Executive,2025-03-19,,90328
102,25,Junior,2025-01-20,2025-02-15,59342
103,64,Executive,2024-09-23,,40726
104,82,Senior,2025-12-26,2026-02-14,68683
105,86,Executive,2025-03-31,2025-05-22,107889
106,92,Executive,2025-12-29,2026-01-02,72662
107,7,Junior,2025-03-24,2025-04-23,145043
108,54,Executive,2026-01-09,2026-02-16,113259
109,46,Senior,2024-08-16,,138992
110,171,Executive,2025-01-13,2025-02-22,156918
111,190,Senior,2025-09-16,,148864
112,84,Senior,2025-03-28,,157598
113,102,Senior,2025-11-05,2025-12-23,98991
114,138,Junior,2025-11-30,2026-01-18,150082
115,8,Senior,2025-08-05,,140376
116,87,Senior,2025-12-23,,122149
117,6,Senior,2024-04-19,2024-05-07,50155
118,130,Senior,2024-12-20,,70735
119,111,Senior,2025-06-15,2025-07-07,157050
120,179,Junior,2025-12-18,,58136
121,112,Senior,2025-11-30,2025-12-15,130957
122,105,Junior,2025-09-16,2025-11-01,48418
123,115,Senior,2025-11-18,2025-12-15,111121
124,116,Junior,2026-01-05,2026-02-01,67110
125,7,Executive,2025-04-02,2025-04-27,131163
126,49,Executive,2025-04-10,2025-06-04,89857
127,7,Senior,2026-01-30,2026-01-31,79139
128,11,Senior,2025-07-16,2025-09-09,110545
129,191,Executive,2025-01-09,,111582
130,198,Junior,2025-02-20,,103993
131,131,Senior,2025-09-27,2025-10-15,103654
132,8,Senior,2025-10-29,2025-11-23,127670
133,112,Senior,2025-08-20,,134919
134,107,Senior,2025-03-27,2025-05-20,56728
135,101,Executive,2025-01-25,,43534
136,172,Executive,2025-12-21,2026-01-28,126900
137,14,Executive,2025-01-07,2025-01-13,96179
138,58,Senior,2025-05-05,2025-06-30,63819
